iter	Passed	Remaining
0	75	22469
1	84	12638
2	93	9302
3	103	7654
4	112	6633
5	121	5974
6	130	5474
7	140	5136
8	149	4843
9	160	4641
10	169	4455
11	179	4298
12	188	4157
13	197	4030
14	206	3922
15	216	3843
16	226	3768
17	235	3694
18	245	3624
19	255	3571
20	264	3511
21	274	3467
22	283	3413
23	294	3381
24	304	3350
25	313	3301
26	322	3264
27	332	3233
28	343	3208
29	353	3183
30	363	3151
31	373	3127
32	382	3093
33	393	3079
34	404	3065
35	414	3036
36	424	3019
37	436	3006
38	446	2987
39	456	2968
40	466	2946
41	475	2922
42	486	2905
43	495	2884
44	505	2866
45	515	2846
46	524	2823
47	535	2809
48	543	2786
49	553	2766
50	563	2752
51	573	2737
52	584	2723
53	593	2703
54	604	2690
55	625	2726
56	635	2709
57	645	2694
58	655	2676
59	667	2671
60	677	2654
61	687	2638
62	698	2626
63	709	2614
64	719	2599
65	730	2590
66	741	2579
67	752	2567
68	762	2551
69	774	2543
70	785	2532
71	797	2524
72	809	2518
73	823	2514
74	834	2503
75	843	2487
76	854	2475
77	875	2492
78	885	2476
79	896	2464
80	907	2454
81	920	2447
82	931	2436
83	943	2427
84	953	2410
85	962	2395
86	972	2382
87	984	2371
88	994	2357
89	1004	2343
90	1013	2327
91	1023	2315
92	1033	2301
93	1042	2285
94	1052	2271
95	1061	2255
96	1072	2244
97	1081	2230
98	1091	2216
99	1101	2202
100	1109	2185
101	1120	2174
102	1129	2159
103	1138	2146
104	1147	2131
105	1156	2116
106	1165	2102
107	1174	2088
108	1183	2074
109	1193	2061
110	1203	2048
111	1212	2035
112	1221	2021
113	1230	2008
114	1241	1996
115	1251	1985
116	1259	1970
117	1269	1957
118	1279	1946
119	1291	1937
120	1300	1923
121	1310	1911
122	1319	1899
123	1329	1887
124	1339	1875
125	1363	1882
126	1378	1877
127	1390	1868
128	1403	1860
129	1413	1847
130	1421	1834
131	1432	1823
132	1444	1813
133	1455	1802
134	1466	1791
135	1476	1780
136	1486	1768
137	1495	1755
138	1504	1742
139	1513	1729
140	1522	1717
141	1532	1705
142	1543	1694
143	1552	1682
144	1562	1670
145	1571	1657
146	1581	1645
147	1592	1635
148	1601	1623
149	1611	1611
150	1621	1599
151	1630	1587
152	1639	1575
153	1650	1565
154	1661	1553
155	1670	1542
156	1679	1530
157	1690	1519
158	1700	1508
159	1710	1496
160	1718	1483
161	1729	1473
162	1738	1461
163	1748	1449
164	1758	1438
165	1769	1428
166	1779	1417
167	1792	1408
168	1804	1399
169	1817	1390
170	1830	1381
171	1843	1371
172	1884	1383
173	1909	1382
174	1929	1378
175	1943	1369
176	1959	1361
177	1970	1350
178	1982	1340
179	1994	1329
180	2008	1320
181	2018	1308
182	2028	1297
183	2041	1287
184	2054	1277
185	2068	1268
186	2080	1257
187	2091	1245
188	2102	1235
189	2113	1223
190	2124	1212
191	2135	1200
192	2144	1188
193	2155	1177
194	2168	1167
195	2180	1157
196	2191	1145
197	2202	1134
198	2215	1124
199	2225	1112
200	2237	1102
201	2249	1091
202	2260	1080
203	2271	1068
204	2281	1057
205	2291	1045
206	2304	1035
207	2315	1023
208	2326	1012
209	2337	1001
210	2349	990
211	2360	980
212	2374	969
213	2384	958
214	2395	947
215	2406	935
216	2418	924
217	2430	914
218	2442	903
219	2454	892
220	2466	881
221	2477	870
222	2489	859
223	2500	848
224	2513	837
225	2525	827
226	2537	815
227	2549	805
228	2562	794
229	2573	783
230	2586	772
231	2597	761
232	2610	750
233	2623	739
234	2634	728
235	2646	717
236	2659	707
237	2672	696
238	2683	684
239	2693	673
240	2705	662
241	2715	650
242	2726	639
243	2741	629
244	2753	618
245	2764	606
246	2776	595
247	2786	584
248	2798	573
249	2811	562
250	2823	551
251	2834	539
252	2845	528
253	2854	516
254	2865	505
255	2875	494
256	2885	482
257	2896	471
258	2907	460
259	2921	449
260	2932	438
261	2944	427
262	2955	415
263	2965	404
264	2974	392
265	2985	381
266	2995	370
267	3006	358
268	3017	347
269	3028	336
270	3038	325
271	3048	313
272	3060	302
273	3071	291
274	3081	280
275	3093	268
276	3104	257
277	3114	246
278	3127	235
279	3138	224
280	3149	212
281	3160	201
282	3169	190
283	3180	179
284	3190	167
285	3202	156
286	3212	145
287	3223	134
288	3236	123
289	3247	111
290	3258	100
291	3268	89
292	3278	78
293	3288	67
294	3299	55
295	3309	44
296	3320	33
297	3329	22
298	3337	11
299	3346	0
