url_length,query_length,path_depth,num_params,has_special_chars,special_char_ratio,has_encoded_chars,encoded_char_count,has_sql_keywords,sql_keyword_count,has_script_tags,has_common_attack_path,method_encoded,status_code,status_group,response_bytes,is_post,is_login_path,hour_of_day,entropy,ip_req_count_5m,ip_unique_paths_5m,ip_error_rate_5m,ip_login_fail_count_5m,global_rps_1m,event_ts,split_group,label
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,8219,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:06+0300,2026-01-10T00:00:00+0300,NORMAL
20,8,2,1,0,0.0,0,0,0,0,0,0,0,200,2,4996,0,0,0,2.75,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:19+0300,2026-01-10T00:00:00+0300,NORMAL
15,7,1,1,0,0.0,0,0,0,0,0,0,0,200,2,9538,0,0,0,2.807354922057604,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:24+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,1,1,302,3,6816,1,1,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:38+0300,2026-01-10T00:00:00+0300,NORMAL
13,0,1,0,0,0.0,0,0,0,0,0,1,0,200,2,6036,0,1,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:00:41+0300,2026-01-10T00:00:00+0300,NORMAL
15,7,1,1,0,0.0,0,0,0,0,0,0,0,200,2,10470,0,0,0,2.807354922057604,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:50+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,7600,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:00:57+0300,2026-01-10T00:00:00+0300,NORMAL
28,20,1,1,0,0.0,0,0,1,1,0,0,0,200,2,10246,0,0,0,3.6841837197791887,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:14+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,5975,0,0,0,2.584962500721156,2,2,0.0,0,0.13333333333333333,2026-01-10T00:01:21+0300,2026-01-10T00:00:00+0300,NORMAL
1,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,21872,0,0,0,0.0,2,2,0.0,0,0.13333333333333333,2026-01-10T00:01:21+0300,2026-01-10T00:00:00+0300,NORMAL
4,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,22172,0,0,0,0.0,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:28+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,1649,0,0,0,0.0,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:31+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,9791,0,0,0,2.584962500721156,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:34+0300,2026-01-10T00:00:00+0300,NORMAL
